City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Manzanillo,CU,2022-01-30 17:54:44,20.3433,-77.1167,70.93,58,99,13.89
1,Bethel,US,2022-01-30 17:54:44,41.3712,-73.414,24.55,51,43,3.0
2,Trebinje,BA,2022-01-30 17:54:45,42.7119,18.3442,46.76,61,0,6.91
3,Mataura,NZ,2022-01-30 17:54:45,-46.1927,168.8643,58.48,99,45,1.9
4,Saint-Augustin,CA,2022-01-30 17:54:46,51.226,-58.6502,28.92,95,99,24.45
5,Butaritari,KI,2022-01-30 17:54:46,3.0707,172.7902,81.75,77,64,21.74
6,Burhar,IN,2022-01-30 17:54:46,23.2167,81.5333,57.83,28,0,3.24
7,Vaini,TO,2022-01-30 17:54:47,-21.2,-175.2,80.47,76,100,11.72
8,Ushuaia,AR,2022-01-30 17:54:47,-54.8,-68.3,47.86,66,75,25.32
9,Yabelo,ET,2022-01-30 17:54:48,4.8833,38.0833,69.49,20,97,8.05
10,Saint-Philippe,RE,2022-01-30 17:54:48,-21.3585,55.7679,80.19,79,60,10.74
11,Bluff,NZ,2022-01-30 17:54:48,-46.6,168.3333,58.8,92,87,3.58
12,Upernavik,GL,2022-01-30 17:54:49,72.7868,-56.1549,-3.01,71,100,9.6
13,Asau,RO,2022-01-30 17:54:49,46.4333,26.4,39.4,66,40,17.69
14,Tilichiki,RU,2022-01-30 17:54:50,60.4667,166.1,24.22,80,96,17.27
15,Riyadh,SA,2022-01-30 17:54:00,24.6877,46.7219,60.94,37,0,12.21
16,Rikitea,PF,2022-01-30 17:54:50,-23.1203,-134.9692,76.17,61,59,4.29
17,Quelimane,MZ,2022-01-30 17:54:50,-17.8786,36.8883,80.55,83,40,8.99
18,Avarua,CK,2022-01-30 17:54:51,-21.2078,-159.775,78.85,89,75,12.66
19,Iqaluit,CA,2022-01-30 17:54:51,63.7506,-68.5145,-9.67,64,75,3.44
20,Biritiba-Mirim,BR,2022-01-30 17:54:52,-23.5698,-46.0407,72.84,97,100,1.68
21,Norman Wells,CA,2022-01-30 17:54:52,65.282,-126.8329,-34.56,61,75,0.0
22,San Cristobal,VE,2022-01-30 17:54:53,7.7669,-72.225,68.18,40,88,4.97
23,Kodiak,US,2022-01-30 17:54:53,57.79,-152.4072,23.29,82,42,8.16
24,Cabo San Lucas,MX,2022-01-30 17:54:53,22.8909,-109.9124,77.61,69,62,3.0
25,Cape Town,ZA,2022-01-30 17:54:54,-33.9258,18.4232,73.11,70,0,1.99
26,Albany,US,2022-01-30 17:53:44,42.6001,-73.9662,20.95,37,42,8.99
27,Russell,US,2022-01-30 17:54:54,32.3502,-85.1999,57.11,34,0,9.22
28,Qaanaaq,GL,2022-01-30 17:50:47,77.484,-69.3632,-7.49,71,100,11.43
29,Yellowknife,CA,2022-01-30 17:53:17,62.456,-114.3525,-12.48,70,100,9.22
30,Esperance,AU,2022-01-30 17:54:55,-33.8667,121.9,69.64,65,60,10.38
31,Stornoway,GB,2022-01-30 17:54:55,58.2093,-6.3865,46.36,95,100,8.99
32,Puerto Ayora,EC,2022-01-30 17:54:56,-0.7393,-90.3518,82.36,71,100,8.81
33,Vondrozo,MG,2022-01-30 17:54:56,-22.8167,47.2833,66.09,90,2,1.52
34,Hilo,US,2022-01-30 17:54:57,19.7297,-155.09,70.61,77,58,5.99
35,San Buenaventura,MX,2022-01-30 17:54:57,27.0833,-101.5333,61.48,32,2,2.62
36,Andros Town,BS,2022-01-30 17:54:57,24.7,-77.7667,64.36,53,36,13.56
37,Tangzhai,CN,2022-01-30 17:54:58,34.4328,116.5911,34.09,76,9,7.92
38,Barrow,US,2022-01-30 17:54:58,71.2906,-156.7887,-11.18,77,40,10.36
39,Kaitangata,NZ,2022-01-30 17:54:06,-46.2817,169.8464,53.55,96,50,2.42
40,Grand-Santi,GF,2022-01-30 17:54:59,4.25,-54.3833,85.78,57,87,4.27
41,Atbasar,KZ,2022-01-30 17:54:59,51.8,68.3333,4.14,96,82,10.07
42,Lompoc,US,2022-01-30 17:55:00,34.6391,-120.4579,71.13,52,0,7.0
43,New Norfolk,AU,2022-01-30 17:55:00,-42.7826,147.0587,57.65,76,3,1.99
44,Port Alfred,ZA,2022-01-30 17:55:01,-33.5906,26.891,74.97,86,89,21.14
45,Sistranda,NO,2022-01-30 17:56:01,63.7256,8.834,35.91,58,100,10.27
46,Leningradskiy,RU,2022-01-30 17:56:01,69.3833,178.4167,-8.9,93,100,0.51
47,Brufut,GM,2022-01-30 17:56:02,13.3814,-16.7518,84.29,48,0,11.5
48,Raudeberg,NO,2022-01-30 17:52:26,61.9875,5.1352,33.4,81,99,1.01
49,Constitucion,CL,2022-01-30 17:56:02,-35.3333,-72.4167,70.86,58,2,18.28
50,Berwick,US,2022-01-30 17:56:03,41.0545,-76.2333,25.34,54,19,5.97
51,Aklavik,CA,2022-01-30 17:56:03,68.2191,-135.0107,3.2,72,75,5.75
52,Bowen,AU,2022-01-30 17:56:03,-20.0167,148.2333,77.22,90,34,8.46
53,Gunjur,GM,2022-01-30 17:56:04,13.2019,-16.7339,84.27,48,0,11.5
54,Punta Arenas,CL,2022-01-30 17:55:37,-53.15,-70.9167,51.91,46,75,28.77
55,Saskylakh,RU,2022-01-30 17:56:05,71.9167,114.0833,-19.21,100,100,2.86
56,Qixingtai,CN,2022-01-30 17:56:05,30.4135,111.8874,39.09,77,100,2.28
57,Yendi,GH,2022-01-30 17:56:05,9.4427,-0.0099,89.94,9,82,5.46
58,Lazaro Cardenas,MX,2022-01-30 17:56:06,17.9583,-102.2,82.74,52,3,6.58
59,Baghdad,IQ,2022-01-30 17:54:12,33.3406,44.4009,51.71,50,0,4.61
60,Imbituba,BR,2022-01-30 17:51:14,-28.24,-48.6703,78.69,61,91,7.05
61,Waipawa,NZ,2022-01-30 17:56:06,-41.4122,175.5153,57.83,84,94,3.67
62,Luderitz,NA,2022-01-30 17:56:07,-26.6481,15.1594,69.71,75,68,10.63
63,Tuktoyaktuk,CA,2022-01-30 17:55:36,69.4541,-133.0374,-2.2,78,100,18.41
64,San Vicente,AR,2022-01-30 17:55:14,-26.6167,-54.1333,85.96,36,40,3.24
65,Grande Prairie,CA,2022-01-30 17:54:05,55.1667,-118.8027,19.58,86,75,4.61
66,Anadyr,RU,2022-01-30 17:56:07,64.75,177.4833,-17.9,75,75,1.99
67,Bredasdorp,ZA,2022-01-30 17:56:08,-34.5322,20.0403,73.27,73,20,16.11
68,Urumqi,CN,2022-01-30 17:53:00,43.801,87.6005,-3.05,85,75,0.0
69,Cidreira,BR,2022-01-30 17:56:08,-30.1811,-50.2056,76.84,57,7,16.49
70,Port Elizabeth,ZA,2022-01-30 17:56:09,-33.918,25.5701,76.1,83,20,18.41
71,Aberdeen,GB,2022-01-30 17:56:09,57.1437,-2.0981,41.49,91,75,23.02
72,Ust-Nera,RU,2022-01-30 17:56:10,64.5667,143.2,-16.69,99,100,0.98
73,Guerrero Negro,MX,2022-01-30 17:56:10,27.9769,-114.0611,64.42,56,69,11.32
74,Provideniya,RU,2022-01-30 17:56:10,64.3833,-173.3,5.32,80,1,7.87
75,Castro,BR,2022-01-30 17:56:03,-24.7911,-50.0119,64.58,98,100,5.5
76,Tual,ID,2022-01-30 17:56:11,-5.6667,132.75,83.66,75,100,17.67
77,Clyde River,CA,2022-01-30 17:55:29,70.4692,-68.5914,-14.57,64,75,6.91
78,Bubaque,GW,2022-01-30 17:56:11,11.2833,-15.8333,78.24,63,21,15.19
79,Mayo,US,2022-01-30 17:56:12,38.8876,-76.5119,31.73,44,75,3.0
80,Yanam,IN,2022-01-30 17:56:12,16.7333,82.2167,66.7,95,3,1.14
81,Sitka,US,2022-01-30 17:56:13,57.0531,-135.33,35.49,80,100,11.5
82,Busselton,AU,2022-01-30 17:56:13,-33.65,115.3333,64.04,78,3,18.39
83,Hermanus,ZA,2022-01-30 17:55:31,-34.4187,19.2345,73.8,71,40,17.34
84,Kushima,JP,2022-01-30 17:56:14,31.4583,131.2333,40.12,78,1,9.44
85,Ahipara,NZ,2022-01-30 17:52:31,-35.1667,173.1667,60.84,91,100,7.87
86,Los Llanos De Aridane,ES,2022-01-30 17:51:47,28.6585,-17.9182,64.15,81,20,3.0
87,Faanui,PF,2022-01-30 17:56:14,-16.4833,-151.75,79.77,73,68,6.87
88,Hithadhoo,MV,2022-01-30 17:56:15,-0.6,73.0833,81.97,69,100,8.43
89,Beringovskiy,RU,2022-01-30 17:57:15,63.05,179.3167,-13.67,99,70,7.34
90,Jamestown,US,2022-01-30 17:57:15,42.097,-79.2353,19.71,43,80,4.0
91,Bereda,ES,2022-01-30 17:57:16,43.2686,-7.5406,49.75,87,3,3.24
92,Thompson,CA,2022-01-30 17:57:16,55.7435,-97.8558,1.56,78,100,2.3
93,Hovd,MN,2022-01-30 17:57:17,48.0056,91.6419,-12.84,81,19,2.17
94,Codrington,AU,2022-01-30 17:57:17,-38.2667,141.9667,61.38,98,9,7.14
95,Tasiilaq,GL,2022-01-30 17:56:18,65.6145,-37.6368,2.53,35,6,31.97
96,Airai,TL,2022-01-30 17:53:10,-8.9266,125.4092,61.36,94,96,3.67
97,Talnakh,RU,2022-01-30 17:53:48,69.4865,88.3972,-12.44,97,86,8.79
98,Lebu,CL,2022-01-30 17:57:18,-37.6167,-73.65,63.14,66,55,16.91
99,Chokurdakh,RU,2022-01-30 17:57:18,70.6333,147.9167,-29.83,89,33,1.07
100,Grand Gaube,MU,2022-01-30 17:57:19,-20.0064,57.6608,81.0,73,44,1.01
101,Arraial Do Cabo,BR,2022-01-30 17:55:38,-22.9661,-42.0278,87.76,62,40,4.61
102,Bhinmal,IN,2022-01-30 17:57:19,25.0,72.25,64.13,47,0,8.52
103,Bengkulu,ID,2022-01-30 17:57:20,-3.8004,102.2655,75.9,93,100,4.97
104,Chuy,UY,2022-01-30 17:57:20,-33.6971,-53.4616,79.32,54,98,12.62
105,Atuona,PF,2022-01-30 17:57:20,-9.8,-139.0333,77.22,79,10,13.2
106,Yulara,AU,2022-01-30 17:57:21,-25.2406,130.9889,73.24,100,40,12.66
107,Sao Joao Da Barra,BR,2022-01-30 17:57:21,-21.6403,-41.0511,91.49,73,61,8.5
108,Redlands,US,2022-01-30 17:57:22,34.0556,-117.1825,65.43,27,0,0.13
109,Ryotsu,JP,2022-01-30 17:57:22,38.0833,138.4333,32.07,65,97,13.44
110,Namibe,AO,2022-01-30 17:56:37,-15.1961,12.1522,73.35,73,98,8.14
111,Vila,PT,2022-01-30 17:57:23,42.0304,-8.1588,47.28,65,0,3.33
112,Arman,RU,2022-01-30 17:57:23,59.7,150.1667,7.2,79,100,14.34
113,Gondanglegi,ID,2022-01-30 17:57:23,-7.7479,112.0132,75.13,93,100,1.74
